order_item_id,order_id,product_id,product_name,quantity,unit_price,line_discount,line_total,special_instructions
ORI0269,ORD0269,PRD0832,Mozzarella Sticks #832,4,3.37,1.45,13.48,
ORI0270,ORD0270,PRD0779,Chicken Wings #779,1,5.44,0.92,5.44,cut in squares
ORI0271,ORD0271,PRD0877,Cheese Breadsticks #877,1,7.11,1.51,7.11,light sauce
ORI0272,ORD0272,PRD0146,"Hawaiian (Medium, Thin)",4,22.43,2.54,89.72,no onions
ORI0273,ORD0273,PRD0742,Cinnamon Twists #742,4,2.49,0.79,9.96,light sauce
ORI0274,ORD0274,PRD0952,Chicken Wings #952,3,5.03,1.08,15.09,extra cheese
ORI0275,ORD0275,PRD0809,Cinnamon Twists #809,2,9.90,1.56,19.80,
ORI0276,ORD0276,PRD0895,Cheese Breadsticks #895,2,5.96,2.83,11.92,cut in squares
ORI0277,ORD0277,PRD0443,"Sicilian (Medium, Cauliflower)",4,20.49,0.90,81.96,well done
ORI0278,ORD0278,PRD0711,Cinnamon Twists #711,3,7.95,2.79,23.85,light sauce
ORI0279,ORD0279,PRD0001,"Four Cheese (Medium, Pan)",4,14.64,1.18,58.56,light sauce
ORI0280,ORD0280,PRD0154,"Pesto Chicken (Large, Cauliflower)",3,14.61,0.65,43.83,extra cheese
ORI0281,ORD0281,PRD0407,"Veggie Supreme (Family, Thin)",2,17.74,0.02,35.48,
ORI0282,ORD0282,PRD0076,"Ranch Special (Family, Hand-Tossed)",1,6.28,1.94,6.28,cut in squares
ORI0283,ORD0283,PRD0180,"Mushroom Truffle (Family, Thin)",1,28.33,1.95,28.33,extra cheese
ORI0284,ORD0284,PRD0747,Cinnamon Twists #747,1,6.75,2.76,6.75,
ORI0285,ORD0285,PRD0712,Garden Salad #712,1,1.40,1.13,1.40,no onions
ORI0286,ORD0286,PRD0643,"White Garlic (Medium, Hand-Tossed)",3,13.32,1.34,39.96,
ORI0287,ORD0287,PRD0682,"Meat Lovers (Family, Cauliflower)",2,23.00,1.61,46.00,
ORI0288,ORD0288,PRD0418,"Margherita (Personal, Thin)",1,26.24,0.23,26.24,no onions
ORI0289,ORD0289,PRD0072,"Spicy Diablo (Large, Pan)",1,18.36,2.65,18.36,extra cheese
ORI0290,ORD0290,PRD0966,Garlic Knots #966,4,6.70,2.03,26.80,
ORI0291,ORD0291,PRD0707,Caesar Salad #707,4,3.27,1.78,13.08,
ORI0292,ORD0292,PRD0801,Garlic Knots #801,3,9.05,2.24,27.15,
ORI0293,ORD0293,PRD0525,"Buffalo Chicken (Large, Pan)",3,27.16,0.14,81.48,cut in squares
ORI0294,ORD0294,PRD0931,Cinnamon Twists #931,4,8.56,0.72,34.24,
ORI0295,ORD0295,PRD0242,"Margherita (Large, Pan)",1,8.88,1.54,8.88,light sauce
ORI0296,ORD0296,PRD0602,"Sausage & Peppers (Medium, Thin)",4,10.97,2.49,43.88,
ORI0297,ORD0297,PRD0398,"Spinach Feta (Large, Pan)",2,17.60,0.55,35.20,well done
ORI0298,ORD0298,PRD0364,"Four Cheese (Large, Thin)",4,9.42,2.57,37.68,extra cheese
ORI0299,ORD0299,PRD0842,Garlic Knots #842,2,2.52,1.06,5.04,
ORI0300,ORD0300,PRD0978,Cinnamon Twists #978,2,11.46,0.67,22.92,
ORI0301,ORD0301,PRD0893,Garden Salad #893,1,12.29,1.49,12.29,
ORI0302,ORD0302,PRD0912,Garden Salad #912,1,4.53,0.35,4.53,
ORI0303,ORD0303,PRD0981,Chocolate Brownie #981,1,7.01,0.74,7.01,well done
ORI0304,ORD0304,PRD0076,"Ranch Special (Family, Hand-Tossed)",1,6.28,0.47,6.28,
ORI0305,ORD0305,PRD0626,"Neapolitan (Personal, Pan)",1,12.52,1.05,12.52,
ORI0306,ORD0306,PRD0272,"Sausage & Peppers (Personal, Hand-Tossed)",4,20.34,3.00,81.36,no onions
ORI0307,ORD0307,PRD0684,"Pesto Chicken (Medium, Pan)",1,18.51,2.12,18.51,no onions
ORI0308,ORD0308,PRD0144,"Meat Lovers (Family, Cauliflower)",2,15.83,2.93,31.66,extra cheese
ORI0309,ORD0309,PRD0037,"Spinach Feta (Personal, Thin)",3,9.15,1.38,27.45,cut in squares
ORI0310,ORD0310,PRD0414,"BBQ Chicken (Large, Cauliflower)",3,15.87,2.18,47.61,extra cheese
ORI0311,ORD0311,PRD0268,"White Garlic (Large, Pan)",4,12.22,2.40,48.88,light sauce
ORI0312,ORD0312,PRD0333,"Spinach Feta (Large, Hand-Tossed)",2,11.02,1.83,22.04,light sauce
ORI0313,ORD0313,PRD0413,"Sausage & Peppers (Family, Stuffed)",2,20.84,2.90,41.68,cut in squares
ORI0314,ORD0314,PRD0213,"Pesto Chicken (Medium, Pan)",2,14.95,0.66,29.90,
ORI0315,ORD0315,PRD0043,"Mushroom Truffle (Personal, Hand-Tossed)",2,8.07,2.19,16.14,light sauce
ORI0316,ORD0316,PRD0468,"White Garlic (Personal, Hand-Tossed)",1,26.37,1.14,26.37,no onions
ORI0317,ORD0317,PRD0832,Mozzarella Sticks #832,2,3.37,0.71,6.74,
ORI0318,ORD0318,PRD0375,"Margherita (Large, Hand-Tossed)",2,13.27,2.23,26.54,
ORI0319,ORD0319,PRD0124,"Neapolitan (Family, Pan)",2,20.73,1.90,41.46,
ORI0320,ORD0320,PRD0608,"BBQ Chicken (Medium, Pan)",3,23.11,0.04,69.33,
ORI0321,ORD0321,PRD0112,"Four Cheese (Large, Cauliflower)",1,19.37,0.41,19.37,well done
ORI0322,ORD0322,PRD0138,"Four Cheese (Large, Hand-Tossed)",1,12.75,1.46,12.75,
ORI0323,ORD0323,PRD0549,"Buffalo Chicken (Family, Cauliflower)",4,20.05,2.20,80.20,light sauce
ORI0324,ORD0324,PRD0101,"BBQ Chicken (Large, Hand-Tossed)",3,21.15,1.16,63.45,no onions
ORI0325,ORD0325,PRD0847,Chicken Wings #847,4,2.51,1.63,10.04,cut in squares
ORI0326,ORD0326,PRD0046,"Hawaiian (Family, Hand-Tossed)",4,13.82,0.11,55.28,light sauce
ORI0327,ORD0327,PRD0786,Chicken Wings #786,2,5.99,1.92,11.98,cut in squares
ORI0328,ORD0328,PRD0200,"Ranch Special (Family, Thin)",4,14.32,2.11,57.28,
ORI0329,ORD0329,PRD0262,"Supreme (Medium, Cauliflower)",2,18.49,1.12,36.98,extra cheese
ORI0330,ORD0330,PRD0881,Caesar Salad #881,3,6.12,1.05,18.36,light sauce
ORI0331,ORD0331,PRD0439,"Sicilian (Family, Hand-Tossed)",2,9.41,0.38,18.82,light sauce
ORI0332,ORD0332,PRD0470,"Margherita (Family, Thin)",4,13.50,1.16,54.00,
ORI0333,ORD0333,PRD0626,"Neapolitan (Personal, Pan)",4,12.52,0.92,50.08,
ORI0334,ORD0334,PRD0590,"Sicilian (Family, Cauliflower)",1,24.67,1.94,24.67,no onions
ORI0335,ORD0335,PRD0111,"Hawaiian (Large, Cauliflower)",2,25.64,1.12,51.28,
ORI0336,ORD0336,PRD0378,"Buffalo Chicken (Family, Hand-Tossed)",1,20.30,0.89,20.30,well done
ORI0337,ORD0337,PRD0638,"Supreme (Medium, Pan)",3,13.73,0.17,41.19,light sauce
ORI0338,ORD0338,PRD0977,Chocolate Brownie #977,4,9.55,1.01,38.20,
ORI0339,ORD0339,PRD0566,"Mushroom Truffle (Large, Cauliflower)",3,22.28,1.16,66.84,well done
ORI0340,ORD0340,PRD0278,"White Garlic (Large, Cauliflower)",3,18.05,1.79,54.15,well done
ORI0341,ORD0341,PRD0928,Soft Drink #928,4,12.94,2.23,51.76,cut in squares
ORI0342,ORD0342,PRD0981,Chocolate Brownie #981,4,7.01,1.08,28.04,no onions
ORI0343,ORD0343,PRD0936,Chicken Wings #936,1,4.52,0.48,4.52,light sauce
ORI0344,ORD0344,PRD0018,"Mushroom Truffle (Personal, Pan)",1,8.11,2.95,8.11,well done
ORI0345,ORD0345,PRD0137,"Pesto Chicken (Personal, Cauliflower)",2,26.31,1.84,52.62,light sauce
ORI0346,ORD0346,PRD0026,"Hawaiian (Medium, Stuffed)",1,11.88,1.07,11.88,cut in squares
ORI0347,ORD0347,PRD0441,"Pepperoni (Large, Cauliflower)",2,16.00,1.78,32.00,light sauce
ORI0348,ORD0348,PRD0175,"Pepperoni (Medium, Stuffed)",1,23.39,0.29,23.39,
ORI0349,ORD0349,PRD0471,"Mushroom Truffle (Family, Stuffed)",2,18.79,2.33,37.58,
ORI0350,ORD0350,PRD0607,"Sicilian (Medium, Stuffed)",3,18.18,0.67,54.54,
ORI0351,ORD0351,PRD0192,"Supreme (Family, Pan)",1,8.58,1.55,8.58,
ORI0352,ORD0352,PRD0305,"Spicy Diablo (Large, Pan)",1,10.66,2.02,10.66,well done
ORI0353,ORD0353,PRD0475,"Hawaiian (Family, Thin)",4,24.99,2.18,99.96,cut in squares
ORI0354,ORD0354,PRD0217,"Pepperoni (Family, Cauliflower)",3,12.62,0.33,37.86,extra cheese
ORI0355,ORD0355,PRD0984,Caesar Salad #984,4,1.73,0.26,6.92,
ORI0356,ORD0356,PRD0735,Bottled Water #735,4,10.40,0.68,41.60,cut in squares
ORI0357,ORD0357,PRD0102,"Margherita (Family, Pan)",2,9.89,1.17,19.78,
ORI0358,ORD0358,PRD0514,"Buffalo Chicken (Medium, Pan)",4,19.63,1.40,78.52,cut in squares
ORI0359,ORD0359,PRD0527,"Pesto Chicken (Family, Pan)",3,30.04,0.63,90.12,well done
ORI0360,ORD0360,PRD0930,Cinnamon Twists #930,2,14.14,0.96,28.28,well done
ORI0361,ORD0361,PRD0890,Chocolate Brownie #890,2,4.83,2.43,9.66,well done
ORI0362,ORD0362,PRD0651,"Spicy Diablo (Medium, Pan)",3,20.04,0.36,60.12,light sauce
ORI0363,ORD0363,PRD0108,"Spicy Diablo (Large, Thin)",3,10.53,0.74,31.59,
ORI0364,ORD0364,PRD0296,"Meat Lovers (Personal, Cauliflower)",2,13.70,1.64,27.40,
ORI0365,ORD0365,PRD0912,Garden Salad #912,3,4.53,0.71,13.59,light sauce
ORI0366,ORD0366,PRD0572,"Spicy Diablo (Large, Pan)",4,18.74,2.19,74.96,no onions
ORI0367,ORD0367,PRD0872,Chocolate Brownie #872,3,9.19,1.95,27.57,light sauce
ORI0368,ORD0368,PRD0308,"Mushroom Truffle (Personal, Stuffed)",2,27.57,1.09,55.14,
ORI0369,ORD0369,PRD0582,"Margherita (Personal, Stuffed)",4,13.18,1.74,52.72,extra cheese
ORI0370,ORD0370,PRD0800,Caesar Salad #800,4,1.46,0.48,5.84,cut in squares
ORI0371,ORD0371,PRD0588,"Margherita (Personal, Thin)",1,14.46,0.30,14.46,well done
ORI0372,ORD0372,PRD0981,Chocolate Brownie #981,1,7.01,1.59,7.01,
ORI0373,ORD0373,PRD0889,Chocolate Brownie #889,4,14.64,0.61,58.56,well done
ORI0374,ORD0374,PRD0534,"Mushroom Truffle (Personal, Hand-Tossed)",3,19.22,1.00,57.66,well done
ORI0375,ORD0375,PRD0007,"Spicy Diablo (Family, Cauliflower)",3,30.26,2.69,90.78,
ORI0376,ORD0376,PRD0993,Caesar Salad #993,4,7.37,1.03,29.48,cut in squares
ORI0377,ORD0377,PRD0048,"Veggie Supreme (Medium, Hand-Tossed)",3,16.24,1.42,48.72,
ORI0378,ORD0378,PRD0623,"Spicy Diablo (Personal, Pan)",3,16.66,2.84,49.98,no onions
ORI0379,ORD0379,PRD0562,"Meat Lovers (Family, Stuffed)",2,14.25,2.73,28.50,
ORI0380,ORD0380,PRD0364,"Four Cheese (Large, Thin)",1,9.42,2.47,9.42,extra cheese
ORI0381,ORD0381,PRD0284,"Spicy Diablo (Family, Hand-Tossed)",3,8.12,3.00,24.36,
ORI0382,ORD0382,PRD0469,"Four Cheese (Family, Hand-Tossed)",3,12.88,1.09,38.64,cut in squares
ORI0383,ORD0383,PRD0693,"Mushroom Truffle (Medium, Cauliflower)",1,24.90,0.37,24.90,light sauce
ORI0384,ORD0384,PRD0182,"Pesto Chicken (Family, Hand-Tossed)",3,19.81,0.06,59.43,extra cheese
ORI0385,ORD0385,PRD0439,"Sicilian (Family, Hand-Tossed)",2,9.41,1.14,18.82,extra cheese
ORI0386,ORD0386,PRD0307,"Pepperoni (Family, Pan)",1,15.84,0.46,15.84,
ORI0387,ORD0387,PRD0127,"Ranch Special (Personal, Stuffed)",1,21.27,0.81,21.27,light sauce
ORI0388,ORD0388,PRD0771,Mozzarella Sticks #771,1,9.61,1.88,9.61,light sauce
ORI0389,ORD0389,PRD0399,"Spinach Feta (Large, Pan)",1,9.58,1.18,9.58,extra cheese
ORI0390,ORD0390,PRD0929,Chicken Wings #929,3,5.49,1.90,16.47,extra cheese
ORI0391,ORD0391,PRD0022,"Pesto Chicken (Family, Thin)",4,15.21,1.23,60.84,no onions
ORI0392,ORD0392,PRD0934,Chocolate Brownie #934,2,1.82,0.56,3.64,
ORI0393,ORD0393,PRD0426,"Veggie Supreme (Medium, Pan)",4,26.35,2.60,105.40,well done
ORI0394,ORD0394,PRD0761,Garden Salad #761,3,6.54,1.48,19.62,extra cheese
ORI0395,ORD0395,PRD0871,Mozzarella Sticks #871,1,4.59,0.78,4.59,well done
ORI0396,ORD0396,PRD0653,"Hawaiian (Personal, Hand-Tossed)",3,13.71,0.58,41.13,
ORI0397,ORD0397,PRD0825,Caesar Salad #825,2,3.02,0.58,6.04,extra cheese
ORI0398,ORD0398,PRD0076,"Ranch Special (Family, Hand-Tossed)",2,6.28,2.06,12.56,
ORI0399,ORD0399,PRD0569,"Veggie Supreme (Large, Thin)",1,14.66,0.35,14.66,
ORI0400,ORD0400,PRD0223,"Hawaiian (Personal, Hand-Tossed)",4,10.95,1.41,43.80,
ORI0401,ORD0401,PRD0910,Chicken Wings #910,1,2.14,2.03,2.14,cut in squares
ORI0402,ORD0402,PRD0802,Chicken Wings #802,1,7.80,2.58,7.80,no onions
ORI0403,ORD0403,PRD0566,"Mushroom Truffle (Large, Cauliflower)",4,22.28,2.75,89.12,no onions
ORI0404,ORD0404,PRD0883,Chicken Wings #883,4,3.95,2.82,15.80,light sauce
ORI0405,ORD0405,PRD0954,Cheese Breadsticks #954,2,12.95,2.47,25.90,
ORI0406,ORD0406,PRD0444,"Supreme (Personal, Pan)",3,12.09,0.10,36.27,extra cheese
ORI0407,ORD0407,PRD0231,"Supreme (Large, Cauliflower)",1,23.47,1.99,23.47,cut in squares
ORI0408,ORD0408,PRD0144,"Meat Lovers (Family, Cauliflower)",3,15.83,1.82,47.49,
ORI0409,ORD0409,PRD0111,"Hawaiian (Large, Cauliflower)",3,25.64,0.16,76.92,light sauce
ORI0410,ORD0410,PRD0205,"Sicilian (Family, Thin)",2,25.38,0.84,50.76,light sauce
ORI0411,ORD0411,PRD0490,"White Garlic (Personal, Thin)",2,20.77,1.55,41.54,light sauce
ORI0412,ORD0412,PRD0255,"Sausage & Peppers (Large, Pan)",3,19.56,2.45,58.68,cut in squares
ORI0413,ORD0413,PRD0183,"Spicy Diablo (Personal, Pan)",3,9.42,2.16,28.26,
ORI0414,ORD0414,PRD0093,"Buffalo Chicken (Personal, Thin)",3,15.45,2.31,46.35,well done
ORI0415,ORD0415,PRD0534,"Mushroom Truffle (Personal, Hand-Tossed)",3,19.22,1.71,57.66,
ORI0416,ORD0416,PRD0887,Garlic Knots #887,1,10.12,0.11,10.12,
ORI0417,ORD0417,PRD0861,Mozzarella Sticks #861,2,1.56,0.06,3.12,
ORI0418,ORD0418,PRD0115,"Spicy Diablo (Medium, Hand-Tossed)",2,11.45,1.14,22.90,no onions
ORI0419,ORD0419,PRD0062,"Margherita (Large, Hand-Tossed)",1,20.14,1.47,20.14,well done
ORI0420,ORD0420,PRD0332,"Mushroom Truffle (Family, Thin)",3,11.50,1.09,34.50,
ORI0421,ORD0421,PRD0354,"Spinach Feta (Medium, Stuffed)",1,12.10,1.88,12.10,
ORI0422,ORD0422,PRD0846,Chocolate Brownie #846,4,9.83,2.54,39.32,no onions
ORI0423,ORD0423,PRD0959,Mozzarella Sticks #959,1,3.97,0.90,3.97,no onions
ORI0424,ORD0424,PRD0811,Cinnamon Twists #811,4,6.96,0.42,27.84,light sauce
ORI0425,ORD0425,PRD0233,"Sausage & Peppers (Family, Hand-Tossed)",4,7.66,1.48,30.64,
ORI0426,ORD0426,PRD0848,Garden Salad #848,3,14.53,1.89,43.59,
ORI0427,ORD0427,PRD0089,"Neapolitan (Medium, Stuffed)",1,17.20,1.50,17.20,
ORI0428,ORD0428,PRD0647,"Margherita (Large, Thin)",2,14.65,1.93,29.30,no onions
ORI0429,ORD0429,PRD0915,Garlic Knots #915,3,2.99,1.85,8.97,extra cheese
ORI0430,ORD0430,PRD0950,Chocolate Brownie #950,3,1.69,1.11,5.07,cut in squares
ORI0431,ORD0431,PRD0265,"Neapolitan (Personal, Stuffed)",3,21.62,2.83,64.86,light sauce
ORI0432,ORD0432,PRD0144,"Meat Lovers (Family, Cauliflower)",3,15.83,0.45,47.49,well done
ORI0433,ORD0433,PRD0763,Cheese Breadsticks #763,2,11.96,0.27,23.92,cut in squares
ORI0434,ORD0434,PRD0773,Cheese Breadsticks #773,1,5.60,0.02,5.60,extra cheese
ORI0435,ORD0435,PRD0453,"Hawaiian (Personal, Cauliflower)",2,15.56,2.97,31.12,no onions
ORI0436,ORD0436,PRD0353,"White Garlic (Large, Cauliflower)",4,11.76,0.67,47.04,extra cheese
ORI0437,ORD0437,PRD0509,"Sausage & Peppers (Personal, Thin)",2,19.64,2.87,39.28,extra cheese
ORI0438,ORD0438,PRD0869,Chocolate Brownie #869,3,8.46,1.64,25.38,
ORI0439,ORD0439,PRD0633,"Buffalo Chicken (Personal, Hand-Tossed)",1,8.93,0.08,8.93,
ORI0440,ORD0440,PRD0947,Chocolate Brownie #947,1,11.99,0.51,11.99,
ORI0441,ORD0441,PRD0023,"Pepperoni (Medium, Pan)",1,11.75,2.41,11.75,cut in squares
ORI0442,ORD0442,PRD0474,"Hawaiian (Personal, Thin)",4,16.81,2.38,67.24,no onions
ORI0443,ORD0443,PRD0985,Garlic Knots #985,4,2.84,2.81,11.36,
ORI0444,ORD0444,PRD0383,"Pesto Chicken (Family, Pan)",3,29.07,2.93,87.21,cut in squares
ORI0445,ORD0445,PRD0558,"Spinach Feta (Large, Thin)",4,7.90,0.89,31.60,
ORI0446,ORD0446,PRD0100,"Mushroom Truffle (Personal, Cauliflower)",2,17.37,2.20,34.74,light sauce
ORI0447,ORD0447,PRD0514,"Buffalo Chicken (Medium, Pan)",3,19.63,0.52,58.89,cut in squares
ORI0448,ORD0448,PRD0997,Chocolate Brownie #997,2,3.28,2.99,6.56,cut in squares
ORI0449,ORD0449,PRD0260,"BBQ Chicken (Family, Stuffed)",2,10.51,0.23,21.02,light sauce
ORI0450,ORD0450,PRD0057,"Pesto Chicken (Family, Pan)",3,22.54,2.95,67.62,cut in squares
ORI0451,ORD0451,PRD0571,"Mushroom Truffle (Medium, Cauliflower)",1,18.52,0.61,18.52,cut in squares
ORI0452,ORD0452,PRD0114,"Sausage & Peppers (Personal, Hand-Tossed)",4,12.06,0.21,48.24,no onions
ORI0453,ORD0453,PRD0538,"Pesto Chicken (Medium, Cauliflower)",3,11.21,2.28,33.63,
ORI0454,ORD0454,PRD0649,"Pepperoni (Family, Hand-Tossed)",2,14.03,1.15,28.06,extra cheese
ORI0455,ORD0455,PRD0707,Caesar Salad #707,2,3.27,1.35,6.54,light sauce
ORI0456,ORD0456,PRD0089,"Neapolitan (Medium, Stuffed)",3,17.20,1.05,51.60,well done
ORI0457,ORD0457,PRD0004,"Spicy Diablo (Personal, Cauliflower)",4,10.26,0.72,41.04,extra cheese
ORI0458,ORD0458,PRD0201,"Neapolitan (Medium, Hand-Tossed)",1,11.71,1.81,11.71,cut in squares
ORI0459,ORD0459,PRD0048,"Veggie Supreme (Medium, Hand-Tossed)",2,16.24,2.56,32.48,
ORI0460,ORD0460,PRD0722,Chocolate Brownie #722,3,1.77,1.49,5.31,well done
ORI0461,ORD0461,PRD0768,Cinnamon Twists #768,2,12.53,1.49,25.06,light sauce
ORI0462,ORD0462,PRD0630,"White Garlic (Medium, Pan)",4,13.15,1.88,52.60,extra cheese
ORI0463,ORD0463,PRD0285,"Margherita (Personal, Stuffed)",3,10.02,2.73,30.06,no onions
ORI0464,ORD0464,PRD0901,Caesar Salad #901,2,12.18,2.42,24.36,light sauce
ORI0465,ORD0465,PRD0393,"Neapolitan (Family, Hand-Tossed)",3,30.06,1.44,90.18,no onions
ORI0466,ORD0466,PRD0872,Chocolate Brownie #872,3,9.19,1.70,27.57,extra cheese
ORI0467,ORD0467,PRD0101,"BBQ Chicken (Large, Hand-Tossed)",1,21.15,0.04,21.15,well done
ORI0468,ORD0468,PRD0131,"Ranch Special (Personal, Hand-Tossed)",2,8.29,2.16,16.58,
ORI0469,ORD0469,PRD0360,"Spinach Feta (Medium, Pan)",3,25.59,2.81,76.77,
ORI0470,ORD0470,PRD0168,"Supreme (Medium, Pan)",2,7.99,1.28,15.98,no onions
ORI0471,ORD0471,PRD0394,"Meat Lovers (Personal, Stuffed)",1,13.01,1.52,13.01,
ORI0472,ORD0472,PRD0238,"Pepperoni (Large, Stuffed)",2,16.31,0.71,32.62,well done
ORI0473,ORD0473,PRD0104,"Buffalo Chicken (Medium, Cauliflower)",1,24.15,0.74,24.15,well done
ORI0474,ORD0474,PRD0728,Soft Drink #728,2,4.21,0.52,8.42,light sauce
ORI0475,ORD0475,PRD0590,"Sicilian (Family, Cauliflower)",3,24.67,1.08,74.01,
ORI0476,ORD0476,PRD0215,"Neapolitan (Personal, Stuffed)",1,9.40,1.41,9.40,
ORI0477,ORD0477,PRD0058,"Ranch Special (Medium, Thin)",1,16.15,2.98,16.15,extra cheese
ORI0478,ORD0478,PRD0851,Chocolate Brownie #851,2,6.56,0.83,13.12,
ORI0479,ORD0479,PRD0870,Cinnamon Twists #870,4,6.74,0.56,26.96,
ORI0480,ORD0480,PRD0300,"Buffalo Chicken (Personal, Hand-Tossed)",1,14.88,0.83,14.88,extra cheese
ORI0481,ORD0481,PRD0450,"Sicilian (Medium, Thin)",3,23.70,1.31,71.10,light sauce
ORI0482,ORD0482,PRD0726,Caesar Salad #726,3,3.39,2.04,10.17,well done
ORI0483,ORD0483,PRD0885,Cheese Breadsticks #885,1,8.72,3.00,8.72,cut in squares
ORI0484,ORD0484,PRD0778,Bottled Water #778,2,2.95,2.24,5.90,extra cheese
ORI0485,ORD0485,PRD0006,"Veggie Supreme (Family, Thin)",1,13.92,1.22,13.92,light sauce
ORI0486,ORD0486,PRD0862,Garlic Knots #862,4,10.56,1.18,42.24,cut in squares
ORI0487,ORD0487,PRD0544,"White Garlic (Large, Hand-Tossed)",1,10.45,2.88,10.45,well done
ORI0488,ORD0488,PRD0755,Mozzarella Sticks #755,1,7.62,1.26,7.62,well done
ORI0489,ORD0489,PRD0344,"Buffalo Chicken (Family, Pan)",1,11.05,2.37,11.05,
ORI0490,ORD0490,PRD0802,Chicken Wings #802,4,7.80,0.75,31.20,
ORI0491,ORD0491,PRD0787,Cinnamon Twists #787,2,8.15,1.30,16.30,
ORI0492,ORD0492,PRD0492,"Mushroom Truffle (Family, Pan)",1,17.89,0.91,17.89,cut in squares
ORI0493,ORD0493,PRD0934,Chocolate Brownie #934,2,1.82,1.60,3.64,
ORI0494,ORD0494,PRD0836,Mozzarella Sticks #836,2,7.15,1.82,14.30,light sauce
ORI0495,ORD0495,PRD0339,"Four Cheese (Large, Cauliflower)",2,8.60,2.84,17.20,no onions
ORI0496,ORD0496,PRD0724,Soft Drink #724,3,5.70,0.24,17.10,light sauce
ORI0497,ORD0497,PRD0812,Bottled Water #812,3,6.08,2.64,18.24,
ORI0498,ORD0498,PRD0561,"Mushroom Truffle (Family, Cauliflower)",1,9.44,2.35,9.44,light sauce
ORI0499,ORD0499,PRD0877,Cheese Breadsticks #877,1,7.11,0.08,7.11,well done
ORI0500,ORD0500,PRD0744,Soft Drink #744,2,12.48,1.55,24.96,
ORI0501,ORD0501,PRD0681,"Margherita (Medium, Hand-Tossed)",3,16.51,2.31,49.53,
ORI0502,ORD0502,PRD0800,Caesar Salad #800,4,1.46,1.11,5.84,no onions
ORI0503,ORD0503,PRD0710,Chicken Wings #710,1,4.36,2.09,4.36,
ORI0504,ORD0504,PRD0882,Cinnamon Twists #882,4,3.92,1.77,15.68,no onions
ORI0505,ORD0505,PRD0338,"Pesto Chicken (Personal, Thin)",1,24.81,0.68,24.81,
ORI0506,ORD0506,PRD0570,"Neapolitan (Medium, Hand-Tossed)",4,9.73,0.07,38.92,cut in squares
ORI0507,ORD0507,PRD0532,"Supreme (Family, Pan)",1,22.84,1.00,22.84,light sauce
ORI0508,ORD0508,PRD0711,Cinnamon Twists #711,1,7.95,1.27,7.95,cut in squares
ORI0509,ORD0509,PRD0069,"Sicilian (Personal, Stuffed)",4,10.83,2.64,43.32,no onions
ORI0510,ORD0510,PRD0484,"BBQ Chicken (Large, Stuffed)",1,22.51,2.03,22.51,no onions
ORI0511,ORD0511,PRD0441,"Pepperoni (Large, Cauliflower)",4,16.00,2.44,64.00,well done
ORI0512,ORD0512,PRD0122,"Spicy Diablo (Family, Cauliflower)",4,22.44,1.65,89.76,
ORI0513,ORD0513,PRD0207,"Four Cheese (Large, Pan)",3,11.31,0.44,33.93,well done
ORI0514,ORD0514,PRD0480,"Veggie Supreme (Medium, Stuffed)",3,15.82,2.42,47.46,
ORI0515,ORD0515,PRD0891,Mozzarella Sticks #891,3,9.32,2.84,27.96,light sauce
ORI0516,ORD0516,PRD0956,Mozzarella Sticks #956,1,10.95,2.00,10.95,
ORI0517,ORD0517,PRD0409,"Spicy Diablo (Family, Thin)",3,9.20,0.27,27.60,
ORI0518,ORD0518,PRD0083,"Pepperoni (Personal, Thin)",4,17.00,2.04,68.00,cut in squares
ORI0519,ORD0519,PRD0865,Soft Drink #865,4,2.42,0.48,9.68,
ORI0520,ORD0520,PRD0573,"Sausage & Peppers (Personal, Pan)",3,22.60,0.35,67.80,light sauce
ORI0521,ORD0521,PRD0630,"White Garlic (Medium, Pan)",4,13.15,2.59,52.60,cut in squares
ORI0522,ORD0522,PRD0384,"BBQ Chicken (Medium, Pan)",4,9.13,1.98,36.52,no onions
ORI0523,ORD0523,PRD0586,"Pepperoni (Personal, Pan)",3,8.81,0.87,26.43,
ORI0524,ORD0524,PRD0197,"Meat Lovers (Large, Pan)",1,19.76,2.96,19.76,extra cheese
ORI0525,ORD0525,PRD0780,Garden Salad #780,3,4.01,2.89,12.03,no onions
ORI0526,ORD0526,PRD0574,"Sausage & Peppers (Large, Thin)",2,31.76,1.84,63.52,no onions
ORI0527,ORD0527,PRD0602,"Sausage & Peppers (Medium, Thin)",3,10.97,1.39,32.91,extra cheese
ORI0528,ORD0528,PRD0833,Garlic Knots #833,3,2.84,1.32,8.52,
ORI0529,ORD0529,PRD0109,"Sausage & Peppers (Family, Cauliflower)",4,12.52,1.64,50.08,light sauce
ORI0530,ORD0530,PRD0356,"Sausage & Peppers (Family, Thin)",1,18.74,1.88,18.74,
ORI0531,ORD0531,PRD0750,Chicken Wings #750,3,3.94,2.65,11.82,
ORI0532,ORD0532,PRD0179,"Veggie Supreme (Medium, Cauliflower)",2,16.08,1.56,32.16,cut in squares
ORI0533,ORD0533,PRD0828,Chocolate Brownie #828,2,8.86,0.13,17.72,
ORI0534,ORD0534,PRD0924,Garlic Knots #924,3,7.46,2.19,22.38,no onions
ORI0535,ORD0535,PRD0971,Chocolate Brownie #971,1,1.19,0.33,1.19,no onions
ORI0536,ORD0536,PRD0896,Mozzarella Sticks #896,2,3.71,2.21,7.42,no onions
